Vertex Number,Destrieux,DK Atlas,DKT Atlas
396,74,1,15
397,54,27,27
398,18,35,35
399,55,27,27
400,30,25,25
401,13,12,19
402,17,35,35
403,3,17,17
404,50,35,35
405,53,27,27
406,4,22,22
407,57,29,29
408,54,27,27
409,38,15,15
410,38,15,15
411,34,30,30
412,19,11,11
413,27,29,29
414,22,21,21
415,26,31,31
416,18,35,35
417,27,29,29
418,15,27,27
419,2,11,11
420,30,25,25
421,16,28,28
422,23,16,16
423,24,12,12
424,21,7,7
425,26,31,31
426,11,21,21
427,25,31,31
428,37,9,9
429,52,13,13
430,16,28,28
431,70,24,24
432,12,18,18
433,30,29,25
434,27,29,29
435,4,22,22
436,45,21,21
437,11,5,5
438,37,9,9
439,74,15,15
440,67,2,2
441,29,24,24
442,59,8,8
443,28,22,22
444,24,12,12
445,31,14,14
446,24,12,12
447,61,7,7
448,15,27,27
449,57,8,8
450,25,8,8
451,15,3,3
452,4,24,24
453,66,25,25
454,73,15,15
455,23,7,7
456,7,28,28
457,19,11,11
458,29,24,24
459,16,28,28
460,49,34,34
461,16,28,28
462,49,30,30
463,30,25,25
464,62,16,16
465,45,21,21
466,74,30,30
467,74,8,8
468,15,27,27
469,19,8,8
470,23,6,6
471,14,20,20
472,12,24,24
473,64,12,12
474,26,31,31
475,13,19,19
476,66,5,5
477,74,8,8
478,16,28,28
479,28,22,22
480,44,7,9
481,66,25,25
482,39,20,19
483,16,28,28
484,28,22,22
485,50,24,24
486,19,11,11
487,26,31,31
488,57,29,29
489,34,30,30
490,26,31,31
491,74,1,30
492,35,30,30
493,6,28,26
494,74,8,8
495,16,17,17
496,57,31,31
497,34,30,30
498,11,5,5
499,32,14,26
500,27,29,29
501,29,24,24
502,72,10,10
503,21,7,7
504,48,12,35
505,68,29,29
506,41,31,22
507,68,22,22
508,11,5,5
509,5,32,28
510,27,29,29
511,57,29,29
512,15,27,28
513,4,24,24
514,58,11,11
515,65,12,12
516,9,23,23
517,22,13,13
518,23,16,16
519,22,13,13
520,6,28,28
521,25,8,8
522,20,11,11
523,61,7,7
524,29,24,24
525,45,21,21
526,4,22,22
527,15,27,28
528,64,12,12
529,29,24,24
530,55,28,28
531,29,24,24
532,49,35,35
533,16,28,28
534,8,23,23
535,60,11,11
536,34,30,30
537,27,29,29
538,31,14,14
539,27,29,29
540,21,7,7
541,14,20,20
542,38,15,15
543,24,27,12
544,26,31,31
545,19,11,11
546,71,14,14
547,9,10,10
548,74,8,8
549,6,26,26
550,35,30,30
551,15,27,27
552,53,3,3
553,50,35,35
554,28,22,22
555,16,28,28
556,55,28,28
557,44,9,15
558,25,8,8
559,25,31,8
560,41,35,35
561,4,31,22
562,32,35,12
563,28,22,22
564,24,12,12
565,28,22,22
566,46,22,22
567,16,28,28
568,74,8,8
569,22,13,13
570,30,25,25
571,69,3,3
572,3,17,17
573,68,22,22
574,4,24,24
575,74,15,15
576,25,8,8
577,20,11,11
578,26,31,31
579,24,19,19
580,34,30,30
581,29,24,24
582,15,27,27
583,34,30,30
584,2,7,7
585,69,24,24
586,62,13,13
587,16,28,28
588,3,22,22
589,66,25,5
590,69,3,3
591,2,11,11
592,34,30,30
593,15,27,27
594,74,1,30
595,19,11,11
596,43,11,11
597,2,11,11
598,38,15,15
599,70,24,24
600,19,11,11
601,60,11,11
602,73,9,9
603,63,19,20
604,18,35,35
605,20,29,29
606,29,24,24
607,12,18,18
608,11,5,5
609,25,8,8
610,11,5,5
611,41,31,31
612,57,29,29
613,20,29,29
614,7,28,28
615,12,24,24
616,64,12,12
617,44,9,9
618,26,31,31
619,1,32,12
620,50,24,24
621,54,27,27
622,66,25,5
623,22,13,13
624,35,30,30
625,49,30,30
626,30,25,25
627,38,15,15
628,27,29,29
629,70,28,28
630,29,24,24
631,16,32,28
632,30,25,25
633,1,27,27
634,15,3,3
635,48,12,12
636,72,25,25
637,23,16,16
638,69,24,24
639,6,26,26
640,34,30,30
641,26,31,31
642,15,27,27
643,17,35,35
644,12,18,18
645,73,15,15
646,9,23,23
647,28,22,22
648,4,22,22
649,2,11,9
650,24,12,12
651,29,24,24
652,55,28,28
653,11,5,5
654,14,20,20
655,57,29,29
656,27,29,22
657,18,35,35
658,36,31,31
659,16,28,28
660,11,5,5
661,30,25,25
662,45,13,13
663,5,27,28
664,6,28,28
665,19,11,11
666,17,35,35
667,21,7,7
668,45,10,10
669,16,28,28
670,62,13,13
671,38,15,15
672,67,-1,-1
673,74,8,8
674,73,15,15
675,62,7,7
676,43,11,11
677,44,33,30
678,57,8,8
679,43,13,13
680,24,12,12
681,11,5,5
682,24,12,12
683,34,30,30
684,69,24,24
685,28,22,22
686,57,29,29
687,44,30,30
688,46,22,22
689,45,21,21
690,69,24,24
691,43,11,11
692,30,25,25
693,16,28,28
694,24,12,12
695,15,3,3
696,38,15,15
697,20,29,29
698,44,7,9
699,62,13,13
700,6,28,28
701,11,5,5
702,43,11,11
703,23,6,6
704,15,3,3
705,16,14,28
706,38,15,15
707,28,22,22
708,4,22,24
709,20,29,5
710,47,23,23
711,13,20,20
712,25,8,8
713,62,7,7
714,16,28,28
715,61,7,7
716,37,9,9
717,7,2,2
718,53,27,27
719,41,35,35
720,55,28,28
721,30,25,25
722,37,9,9
723,74,15,15
724,12,18,18
725,44,15,15
726,47,25,25
727,16,28,28
728,47,17,17
729,68,31,31
730,5,28,28
731,57,29,29
732,34,30,30
733,12,18,18
734,39,20,20
735,24,12,12
736,22,13,13
737,27,29,29
738,16,28,28
739,4,22,22
740,34,30,30
741,56,31,31
742,18,35,35
743,23,16,16
744,74,30,30
745,15,27,27
746,74,15,15
747,46,22,22
748,30,25,25
749,49,30,30
750,65,12,12
751,53,27,27
752,38,15,15
753,46,24,24
754,57,29,29
755,8,17,17
756,38,15,15
757,38,15,15
758,14,20,20
759,67,2,2
760,43,13,13
761,15,27,27
762,45,13,13
763,19,8,8
764,44,7,9
765,46,24,24
766,74,8,8
767,16,28,28
768,37,9,9
769,45,21,21
770,74,8,8
771,74,30,30
772,49,35,35
773,28,22,22
774,74,8,8
775,74,15,15
776,16,28,28
777,66,25,25
778,43,13,13
779,67,23,23
780,32,14,14
781,18,35,12
782,4,22,22
783,68,31,22
784,12,24,24
785,31,14,14
786,24,19,27
787,68,29,29
788,31,14,14
789,43,11,11
790,29,24,24
791,74,1,30
792,19,8,8
793,66,29,25
794,8,23,23
795,63,20,20
796,6,28,28
797,73,9,9
798,57,8,8
799,68,29,29
800,22,13,13
801,43,11,11
802,20,29,11
803,74,8,15
804,5,27,28
805,25,8,8
806,6,28,28
807,21,7,7
808,74,8,8
809,15,27,27
810,16,28,28
811,54,27,27
812,2,11,11
813,46,24,24
814,23,7,7
815,47,17,17
816,25,8,8
817,55,28,28
818,29,24,24
819,7,28,28
820,44,9,9
821,3,17,17
822,37,9,9
823,38,15,15
824,43,11,11
825,44,33,30
826,27,29,29
827,44,15,15
828,50,35,35
829,58,11,11
830,61,7,9
831,28,22,22
832,46,24,24
833,29,24,24
834,18,35,35
835,15,27,27
836,58,11,11
837,19,8,8
838,15,3,3
839,21,7,7
840,1,27,12
841,45,13,13
842,22,13,13
843,30,25,25
844,26,31,31
845,29,24,24
846,28,22,22
847,46,24,24
848,25,8,8
849,72,25,25
850,16,28,28
851,26,31,31
852,26,31,31
853,20,11,11
854,16,28,28
855,28,22,22
856,18,35,35
857,35,30,30
858,69,3,24
859,38,15,15
860,67,26,26
861,50,35,35
862,3,17,17
863,54,27,28
864,75,30,30
865,61,7,7
866,54,27,27
867,2,11,11
868,33,30,30
869,26,31,31
870,50,18,18
871,15,27,27
872,67,10,10
873,44,15,15
874,43,11,11
875,27,29,29
876,24,12,12
877,34,30,30
878,57,29,29
879,16,28,28
880,9,10,10
881,26,31,31
882,64,12,12
883,5,27,28
884,59,29,29
885,30,25,25
886,62,13,13
887,21,7,7
888,24,19,27
889,43,11,11
890,16,28,28
891,38,1,15
892,25,8,8
893,35,33,30
894,68,22,22
895,22,13,13
896,70,24,24
897,24,19,19
898,38,15,15
899,27,29,29
900,68,31,31
901,11,21,21
902,66,25,25
903,43,11,11
904,26,31,31
905,8,23,23
906,55,28,28
907,46,24,24
908,73,9,9
909,43,11,11
910,16,28,28
911,29,24,24
912,38,15,15
913,54,27,28
914,6,26,26
915,16,17,17
916,36,30,30
917,56,31,31
918,60,11,11
919,2,11,11
920,55,28,28
921,69,18,18
922,35,30,30
923,74,1,30
924,30,25,25
925,27,29,29
926,5,28,28
927,38,15,15
928,3,17,17
929,14,20,20
930,54,27,28
931,25,8,8
932,43,13,21
933,19,11,11
934,33,34,34
935,28,22,22
936,74,15,15
937,44,7,9
938,30,25,25
939,43,11,11
940,38,15,15
941,26,31,31
942,27,29,29
943,19,11,11
944,19,11,11
945,21,7,7
946,27,29,29
947,52,11,7
948,16,28,28
949,16,28,28
950,22,13,13
951,38,15,15
952,7,2,2
953,68,22,22
954,34,30,30
955,54,27,27
956,13,19,19
957,6,2,2
958,54,27,27
959,22,13,13
960,16,28,28
961,37,9,9
962,21,7,7
963,70,24,24
964,50,35,18
965,1,27,12
966,46,22,22
967,8,23,23
968,66,5,5
969,10,25,25
